Messages,Date
Transaction of $36.15 at Walmart,13-05-2023
Transaction of $120.00 at Presto,14-05-2023
Transaction of $5.45 at Walmart,15-05-2023
Transaction of $75.12 at Dhaba Junction,16-05-2023
Transaction of $75.69 at FreshCO,17-05-2023
Transaction of $55.00 at Presto Canada,18-05-2023
Transaction of $27.56 at FreshCO,19-05-2023
Transaction of $45.32 at Dhaba Junction,20-05-2023
Transaction of $22.88 at Walmart,21-05-2023
Transaction of $45.00 at Presto Canada,22-05-2023
Transaction of $48.59 at FreshCO,23-05-2023
Transaction of $55.18 at Dhaba Junction,24-05-2023
Transaction of $45.69 at Walmart,25-05-2023
Transaction of $60.00 at Presto Canada,26-05-2023
Transaction of $12.99 at FreshCO,27-05-2023
Transaction of $38.35 at Dhaba Junction,28-05-2023
Transaction of $36.15 at Walmart,29-05-2023
Transaction of $120.00 at Presto,30-05-2023
Transaction of $5.45 at Walmart,31-05-2023
Transaction of $75.12 at Dhaba Junction,01-06-2023
Transaction of $75.69 at FreshCO,02-06-2023
Transaction of $55.00 at Presto Canada,03-06-2023
Transaction of $27.56 at FreshCO,04-06-2023
Transaction of $45.32 at Dhaba Junction,05-06-2023
Transaction of $22.88 at Walmart,06-06-2023
Transaction of $45.00 at Presto Canada,07-06-2023
Transaction of $48.59 at FreshCO,08-06-2023
Transaction of $55.18 at Dhaba Junction,09-06-2023
Transaction of $45.69 at Walmart,10-06-2023
Transaction of $60.00 at Presto Canada,11-06-2023
Transaction of $12.99 at FreshCO,12-06-2023
Transaction of $38.35 at Dhaba Junction,13-06-2023
Transaction of $36.15 at Walmart,14-06-2023
Transaction of $120.00 at Presto,15-06-2023
Transaction of $5.45 at Walmart,16-06-2023
Transaction of $75.12 at Dhaba Junction,17-06-2023
Transaction of $75.69 at FreshCO,18-06-2023
